auto	gold
kuimbiwe	ku
	imb
	iw
	e

ka	kakhulu
khulu	

uimbe	u
	imb
	e

uihle	u
	ihl
	e

uihle	u
	ihl
	e

uihle	u
	ihl
	e

uimbe	u
	imb
	e

kude	ku
	de

kuvele	ku
	vel
	e

udonga	u
	donga

kuli	ku
ngana	lingan
	a

udonga	u
	donga

eli	eli
nga	ngaka
ka	

ol	ola
a	

donga	donga

lusovel	lu
a	so
	vel
	a

uhamba	u
	hamb
	a

ngal	nga
a	la

leveli	leveli

ke	ke

ngoku	ngoku

pha	phantsi
ntsi	

kuvele	ku
	vel
	e

ilevel	i
	level

ke	ke

ngoku	ngoku

u	u
bona	bon
	a

njengoba	njengoba

kuli	ku
gca	li
	gca

ku	ku
kho	kho

i	i
ngca	ngca

kanje	kanje

ndemba	nde
	mb
	a

apha	apha

ndi	ndi
phushe	phush
	e

u	u
mhlaba	m
	hlaba

ndiwu	ndi
phushele	wu
	phush
	el
	e

ngapha	nga
	pha

nde	nde
khe	kh
	e

u	u
mhlaba	m
	hlaba

kodeske	kodeske

kuvele	ku
	vel
	e

le	le

ndawo	ndawo

eflat	e
	flat

Kusoba	Ku
	so
	ba

flat	flat

phushe	phush
	e

lo	lo

mhlaba	m
	hlaba

Ndiye	Ndi
	y
	e

kol	ko
a	la

donga	donga

ndiye	ndi
	y
	e

kol	ko
a	la

donga	donga

ndisemba	ndi
	s
	emb
	a

ngaipeki	nga
	i
	peki

u	u
mhlaba	m
	hlaba

ndiwu	ndi
jul	wu
a	jul
	a

ngapha	nga
	pha

deske	deske

kuvele	ku
	vel
	e

i	i
ndawo	ndawo

ngoku	ngoku

eflat	e
	flat

ke	ke

ngoku	ngoku

Ibe	I
	be

i	i
yalu	ya
nga	lung
	a

ke	ke

ngoku	ngoku

i	i
ndlu	ndlu

ngai	nga
mpelaveki	i
	mpelaveki

ndi	ndi
zoku	zoku
vu	vuk
ka	a

ekuseni	ekuseni

ndihlambe	ndi
	hlamb
	e

ndihlambe	ndi
	hlamb
	e

aba	a
ntwana	ba
	ntwana

bam	b
	am

sitye	si
	ty
	e

isidlo	i
	si
	dlo

sasekuseni	sa
	se
	kuseni

sihlale	si
	hlal
	e

pha	phandle
ndle	

emveni	emveni

koko	koko

ndi	ndi
ngene	ngen
	e

egadi	e
ni	gad
	ini

ndihla	ndi
kule	hlakul
	e

ndi	ndi
phume	phum
	e

ndi	ndi
phu	phuml
mle	e

e	e
ndli	ndl
ni	ini

iwe	i
	w
	e

emthi	e
ni	m
	th
	ini

Yophuke	Yo
	phuk
	e

u	u
mlenze	m
	lenze

Kuye	Ku
	y
	e

kwafi	kwa
ka	fik
	a

aba	a
ntu	ba
	ntu

baza	ba
ku	zaku
mthatha	m
	thath
	a

Bafi	Ba
ke	fik
	e

elil	e
a	lil
	a

Ubeqaqanjelw	Ube
a	qaqanj
	el
	w
	a

ka	kakhulu
khulu	

liidolo	li
	i
	dolo

elo	elo

anzakele	a
	nzakel
	e

kulo	ku
	lo

Ba	Ba
mthathile	m
	thath
	ile

ke	ke

bagodu	ba
ka	goduk
	a

naye	na
	ye

